Model,MDO3104
Firmware Version,1.26

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0.000892,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.02
Vertical Position,-0.04,-5,-0.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.2000e-05,0.2,inf,0.0028
-4.1800e-05,0.16,inf,-0.0036
-4.1600e-05,0.2,inf,0.0012
-4.1400e-05,0.16,inf,-0.0044
-4.1200e-05,0.2,inf,-0.0012
-4.1000e-05,0.16,inf,-0.0036
-4.0800e-05,0.24,inf,0.0012
-4.0600e-05,0.24,inf,-0.0028
-4.0400e-05,0.24,inf,0.0028
-4.0200e-05,0.24,inf,-0.0004
-4.0000e-05,0.2,inf,0.0012
-3.9800e-05,0.24,inf,-0.0052
-3.9600e-05,0.24,inf,-0.0004
-3.9400e-05,0.24,inf,-0.006
-3.9200e-05,0.24,inf,0.0036
-3.9000e-05,0.28,inf,-0.0012
-3.8800e-05,0.24,inf,0.002
-3.8600e-05,0.28,inf,-0.002
-3.8400e-05,0.28,inf,0.0036
-3.8200e-05,0.28,inf,-0.002
-3.8000e-05,0.28,inf,-0.0012
-3.7800e-05,0.32,inf,-0.0028
-3.7600e-05,0.28,inf,-0.0004
-3.7400e-05,0.24,inf,0.0004
-3.7200e-05,0.2,inf,-0.0004
-3.7000e-05,0.32,inf,0.0004
-3.6800e-05,0.28,inf,-0.0004
-3.6600e-05,0.24,inf,-0.0004
-3.6400e-05,0.32,inf,-0.0052
-3.6200e-05,0.28,inf,-0.0012
-3.6000e-05,0.32,inf,-0.0044
-3.5800e-05,0.32,inf,0.0028
-3.5600e-05,0.32,inf,-0.0028
-3.5400e-05,0.28,inf,0.0036
-3.5200e-05,0.28,inf,-0.0036
-3.5000e-05,0.36,inf,0.0012
-3.4800e-05,0.32,inf,-0.0044
-3.4600e-05,0.28,inf,0.0012
-3.4400e-05,0.32,inf,-0.0068
-3.4200e-05,0.36,inf,-0.0004
-3.4000e-05,0.28,inf,-0.0036
-3.3800e-05,0.36,inf,0.0036
-3.3600e-05,0.36,inf,0.0012
-3.3400e-05,0.32,inf,0.002
-3.3200e-05,0.28,inf,-0.002
-3.3000e-05,0.36,inf,-0.0004
-3.2800e-05,0.32,inf,-0.0028
-3.2600e-05,0.4,inf,-0.0028
-3.2400e-05,0.36,inf,-0.0036
-3.2200e-05,0.36,inf,-0.0004
-3.2000e-05,0.4,inf,0.002
-3.1800e-05,0.36,inf,0.0036
-3.1600e-05,0.4,inf,-0.0028
-3.1400e-05,0.36,inf,0.002
-3.1200e-05,0.36,inf,-0.0036
-3.1000e-05,0.4,inf,-0.0004
-3.0800e-05,0.44,inf,-0.0012
-3.0600e-05,0.4,inf,-0.0004
-3.0400e-05,0.36,inf,-0.002
-3.0200e-05,0.4,inf,0.0036
-3.0000e-05,0.4,inf,-0.0004
-2.9800e-05,0.4,inf,0.0028
-2.9600e-05,0.52,inf,-0.0044
-2.9400e-05,0.44,inf,0.0004
-2.9200e-05,0.36,inf,-0.0028
-2.9000e-05,0.48,inf,0.002
-2.8800e-05,0.44,inf,-0.002
-2.8600e-05,0.4,inf,0.0036
-2.8400e-05,0.4,inf,-0.002
-2.8200e-05,0.44,inf,0.0036
-2.8000e-05,0.4,inf,-0.002
-2.7800e-05,0.36,inf,-0.0012
-2.7600e-05,0.4,inf,-0.0012
-2.7400e-05,0.4,inf,0.002
-2.7200e-05,0.44,inf,-0.002
-2.7000e-05,0.44,inf,0.0036
-2.6800e-05,0.44,inf,-0.0028
-2.6600e-05,0.44,inf,0.0028
-2.6400e-05,0.4,inf,-0.002
-2.6200e-05,0.44,inf,0.0012
-2.6000e-05,0.4,inf,-0.0044
-2.5800e-05,0.48,inf,0.0012
-2.5600e-05,0.48,inf,-0.0028
-2.5400e-05,0.44,inf,0.0036
-2.5200e-05,0.48,inf,-0.0028
-2.5000e-05,0.48,inf,0.0028
-2.4800e-05,0.44,inf,-0.002
-2.4600e-05,0.4,inf,-0.0004
-2.4400e-05,0.48,inf,-0.002
-2.4200e-05,0.48,inf,-0.0012
-2.4000e-05,0.44,inf,-0.0028
-2.3800e-05,0.44,inf,0.0028
-2.3600e-05,0.48,inf,0.0028
-2.3400e-05,0.48,inf,0.002
-2.3200e-05,0.44,inf,0.0036
-2.3000e-05,0.44,inf,-0.0004
-2.2800e-05,0.44,inf,0.0004
-2.2600e-05,0.44,inf,-0.006
-2.2400e-05,0.48,inf,-0.002
-2.2200e-05,0.48,inf,-0.0036
-2.2000e-05,0.4,inf,0.0036
-2.1800e-05,0.44,inf,0.0004
-2.1600e-05,0.52,inf,0.006
-2.1400e-05,0.44,inf,-0.0028
-2.1200e-05,0.44,inf,0.002
-2.1000e-05,0.48,inf,-0.0028
-2.0800e-05,0.48,inf,0.0012
